ICMB,CD,LI,Time,FCMB,Rem
5.0,100.0,20.0,0.0,5.0,0.0
5.0,100.0,20.0,15.0,1.3,74.0
5.0,100.0,20.0,30.0,0.8,84.0
5.0,100.0,20.0,45.0,0.6,88.0
5.0,100.0,20.0,60.0,0.4,92.0
5.0,100.0,20.0,75.0,0.4,92.0
5.0,100.0,20.0,90.0,0.3,94.0
5.0,250.0,20.0,0.0,5.0,0.0
5.0,250.0,20.0,15.0,1.2,76.0
5.0,250.0,20.0,30.0,0.7,86.0
5.0,250.0,20.0,45.0,0.5,90.0
5.0,250.0,20.0,60.0,0.4,92.0
5.0,250.0,20.0,75.0,0.3,94.0
5.0,250.0,20.0,90.0,0.4,92.0
5.0,400.0,20.0,0.0,5.0,0.0
5.0,400.0,20.0,15.0,0.7,86.0
5.0,400.0,20.0,30.0,0.4,92.0
5.0,400.0,20.0,45.0,0.2,96.0
5.0,400.0,20.0,60.0,0.1,98.0
5.0,400.0,20.0,75.0,0.0,100.0
5.0,400.0,20.0,90.0,0.0,100.0
10.0,100.0,20.0,0.0,10.0,0.0
10.0,100.0,20.0,15.0,4.8,52.0
10.0,100.0,20.0,30.0,2.5,75.0
10.0,100.0,20.0,45.0,1.2,88.0
10.0,100.0,20.0,60.0,0.6,94.0
10.0,100.0,20.0,75.0,0.3,97.0
10.0,100.0,20.0,90.0,0.2,98.0
10.0,250.0,20.0,0.0,10.0,0.0
10.0,250.0,20.0,15.0,3.6,64.0
10.0,250.0,20.0,30.0,2.2,78.0
10.0,250.0,20.0,45.0,1.1,89.0
10.0,250.0,20.0,60.0,0.6,94.0
10.0,250.0,20.0,75.0,0.3,97.0
10.0,250.0,20.0,90.0,0.1,99.0
10.0,400.0,20.0,0.0,10.0,0.0
10.0,400.0,20.0,15.0,2.8,72.0
10.0,400.0,20.0,30.0,1.7,83.0
10.0,400.0,20.0,45.0,1.0,90.0
10.0,400.0,20.0,60.0,0.5,95.0
10.0,400.0,20.0,75.0,0.3,97.0
10.0,400.0,20.0,90.0,0.1,99.0
15.0,100.0,20.0,0.0,15.0,0.0
15.0,100.0,20.0,15.0,9.9,34.0
15.0,100.0,20.0,30.0,7.2,52.0
15.0,100.0,20.0,45.0,4.6,69.33
15.0,100.0,20.0,60.0,2.9,80.67
15.0,100.0,20.0,75.0,1.8,88.0
15.0,100.0,20.0,90.0,1.3,91.33
15.0,250.0,20.0,0.0,15.0,0.0
15.0,250.0,20.0,15.0,8.2,45.33
15.0,250.0,20.0,30.0,4.9,67.33
15.0,250.0,20.0,45.0,2.9,80.67
15.0,250.0,20.0,60.0,1.5,90.0
15.0,250.0,20.0,75.0,0.9,94.0
15.0,250.0,20.0,90.0,0.1,99.33
15.0,400.0,20.0,0.0,15.0,0.0
15.0,400.0,20.0,15.0,6.9,54.0
15.0,400.0,20.0,30.0,4.4,70.67
15.0,400.0,20.0,45.0,2.8,81.33
15.0,400.0,20.0,60.0,1.7,88.67
15.0,400.0,20.0,75.0,1.2,92.0
15.0,400.0,20.0,90.0,0.8,94.67
5.0,100.0,16.0,0.0,5.0,0.00
5.0,100.0,16.0,15.0,1.7,66.00
5.0,100.0,16.0,30.0,1.0,80.00
5.0,100.0,16.0,45.0,0.6,88.00
5.0,100.0,16.0,60.0,0.5,90.00
5.0,100.0,16.0,75.0,0.4,92.00
5.0,100.0,16.0,90.0,0.2,96.00
5.0,250.0,16.0,0.0,5.0,0.00
5.0,250.0,16.0,15.0,1.2,76.00
5.0,250.0,16.0,30.0,0.9,82.00
5.0,250.0,16.0,45.0,0.6,88.00
5.0,250.0,16.0,60.0,0.5,90.00
5.0,250.0,16.0,75.0,0.3,94.00
5.0,250.0,16.0,90.0,0.2,96.00
5.0,400.0,16.0,0.0,5.0,0.00
5.0,400.0,16.0,15.0,1.3,74.00
5.0,400.0,16.0,30.0,0.9,82.00
5.0,400.0,16.0,45.0,0.7,86.00
5.0,400.0,16.0,60.0,0.3,95.00
5.0,400.0,16.0,75.0,0.5,90.00
5.0,400.0,16.0,90.0,0.3,94.00
10.0,100.0,16.0,0.0,10.0,0.00
10.0,100.0,16.0,15.0,5.7,43.00
10.0,100.0,16.0,30.0,4.0,60.00
10.0,100.0,16.0,45.0,3.0,70.00
10.0,100.0,16.0,60.0,1.9,81.00
10.0,100.0,16.0,75.0,1.3,87.00
10.0,100.0,16.0,90.0,0.8,92.00
10.0,250.0,16.0,0.0,10.0,0.00
10.0,250.0,16.0,15.0,4.5,55.00
10.0,250.0,16.0,30.0,3.2,68.00
10.0,250.0,16.0,45.0,2.2,78.00
10.0,250.0,16.0,60.0,1.2,88.00
10.0,250.0,16.0,75.0,1.1,89.00
10.0,250.0,16.0,90.0,0.7,93.00
10.0,400.0,16.0,0.0,10.0,0.00
10.0,400.0,16.0,15.0,3.4,66.00
10.0,400.0,16.0,30.0,2.6,74.00
10.0,400.0,16.0,45.0,1.9,81.00
10.0,400.0,16.0,60.0,1.3,87.00
10.0,400.0,16.0,75.0,1.0,90.00
10.0,400.0,16.0,90.0,0.9,91.00
15.0,100.0,16.0,0.0,15.0,0.00
15.0,100.0,16.0,15.0,10.6,29.33
15.0,100.0,16.0,30.0,8.4,44.00
15.0,100.0,16.0,45.0,6.3,58.00
15.0,100.0,16.0,60.0,4.5,70.00
15.0,100.0,16.0,75.0,3.2,78.67
15.0,100.0,16.0,90.0,2.3,84.67
15.0,250.0,16.0,0.0,15.0,0.00
15.0,250.0,16.0,15.0,8.9,40.67
15.0,250.0,16.0,30.0,6.9,54.00
15.0,250.0,16.0,45.0,5.2,65.33
15.0,250.0,16.0,60.0,3.8,74.67
15.0,250.0,16.0,75.0,2.8,81.33
15.0,250.0,16.0,90.0,2.1,86.00
15.0,400.0,16.0,0.0,15.0,0.00
15.0,400.0,16.0,15.0,7.3,51.33
15.0,400.0,16.0,30.0,6.1,59.33
15.0,400.0,16.0,45.0,4.5,70.00
15.0,400.0,16.0,60.0,3.5,77.00
15.0,400.0,16.0,75.0,2.6,82.67
15.0,400.0,16.0,90.0,2.0,86.67
5.0,100.0,12.0,0.0,5.0,0.00
5.0,100.0,12.0,15.0,1.6,68.00
5.0,100.0,12.0,30.0,1.3,74.00
5.0,100.0,12.0,45.0,0.9,82.00
5.0,100.0,12.0,60.0,0.6,88.00
5.0,100.0,12.0,75.0,0.4,92.00
5.0,100.0,12.0,90.0,0.3,94.00
5.0,250.0,12.0,0.0,5.0,0.00
5.0,250.0,12.0,15.0,1.1,78.00
5.0,250.0,12.0,30.0,0.7,86.00
5.0,250.0,12.0,45.0,0.6,88.00
5.0,250.0,12.0,60.0,0.4,92.00
5.0,250.0,12.0,75.0,0.3,94.00
5.0,250.0,12.0,90.0,0.2,96.00
5.0,400.0,12.0,0.0,5.0,0.00
5.0,400.0,12.0,15.0,0.9,82.00
5.0,400.0,12.0,30.0,0.7,86.00
5.0,400.0,12.0,45.0,0.6,88.00
5.0,400.0,12.0,60.0,0.5,90.00
5.0,400.0,12.0,75.0,0.4,92.00
5.0,400.0,12.0,90.0,0.3,94.00
10.0,100.0,12.0,0.0,10.0,0.00
10.0,100.0,12.0,15.0,5.8,42.00
10.0,100.0,12.0,30.0,5.0,50.00
10.0,100.0,12.0,45.0,3.9,61.00
10.0,100.0,12.0,60.0,3.0,70.00
10.0,100.0,12.0,75.0,2.2,78.00
10.0,100.0,12.0,90.0,1.6,84.00
10.0,250.0,12.0,0.0,10.0,0.00
10.0,250.0,12.0,15.0,4.4,56.00
10.0,250.0,12.0,30.0,3.8,62.00
10.0,250.0,12.0,45.0,2.7,73.00
10.0,250.0,12.0,60.0,2.1,79.00
10.0,250.0,12.0,75.0,1.6,84.00
10.0,250.0,12.0,90.0,1.2,88.00
10.0,400.0,12.0,0.0,10.0,0.00
10.0,400.0,12.0,15.0,3.3,67.00
10.0,400.0,12.0,30.0,2.8,72.00
10.0,400.0,12.0,45.0,2.2,78.00
10.0,400.0,12.0,60.0,1.8,82.00
10.0,400.0,12.0,75.0,1.5,85.00
10.0,400.0,12.0,90.0,1.2,88.00
15.0,100.0,12.0,0.0,15.0,0.00
15.0,100.0,12.0,15.0,10.3,31.33
15.0,100.0,12.0,30.0,9.1,39.33
15.0,100.0,12.0,45.0,7.5,50.00
15.0,100.0,12.0,60.0,6.3,58.00
15.0,100.0,12.0,75.0,4.9,67.33
15.0,100.0,12.0,90.0,3.9,74.00
15.0,250.0,12.0,0.0,15.0,0.00
15.0,250.0,12.0,15.0,9.4,37.33
15.0,250.0,12.0,30.0,8.1,46.00
15.0,250.0,12.0,45.0,6.9,54.00
15.0,250.0,12.0,60.0,5.7,62.00
15.0,250.0,12.0,75.0,4.9,67.33
15.0,250.0,12.0,90.0,3.9,74.00
15.0,400.0,12.0,0.0,15.0,0.00
15.0,400.0,12.0,15.0,8.0,46.67
15.0,400.0,12.0,30.0,6.9,54.00
15.0,400.0,12.0,45.0,5.8,61.33
15.0,400.0,12.0,60.0,5.0,66.67
15.0,400.0,12.0,75.0,4.1,72.67
15.0,400.0,4.0,90.0,3.4,77.33
